,,,,,,Round (Common rounds are highlighted in grey),30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
#,Element,Question_item,Answer,Sample,Notes - language specific,Notes,SAFE_2024Q1,SAFE_2023H1,SAFE_2022H2,SAFE_2022H1,SAFE_2021H2,SAFE_2021H1,SAFE_2020H2,SAFE_2020H1,SAFE_2019H2,SAFE_2019H1,SAFE_2018H2,SAFE_2018H1,SAFE_2017H2,SAFE_2017H1,SAFE_2016H2,SAFE_2016H1,SAFE_2015H2,SAFE_2015H1,SAFE_2014H2,SAFE_2014H1,SAFE_2013H2,SAFE_2013H1,SAFE_2012H2,SAFE_2012H1,SAFE_2011H2,SAFE_2011H1,SAFE_2010H2,SAFE_2010H1,SAFE_2009H2,SAFE_2009H1
1,question,D2,,Common,,,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...,D2. How would you characterise your enterprise? Is it...
2,question_panel,D2.PANEL,,Common,,,"D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]","D2. PANEL MEMBERS: Can you confirm that your enterprise is <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct category?]",,,,,,,,,,,
3,answer,D2,1,Common,,"In round 2014H1, the category “Part of a profit-oriented enterprise (e.g. subsidiary or branch) not taking fully autonomous financial decisions” was split into two to identify whether the enterprise is a subsidiary or a branch",,,,,,,,,,,,,,,,,,,,,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch**) not taking fully autonomous financial decisions,- part of a profit-oriented enterprise (e.g. subsidiary* or branch **) not taking autonomous financial decisions
4,answer def.,D2,1,Common,,,,,,,,,,,,,,,,,,,,,,,"* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). ","* SUBSIDIARIES AND BRANCHES ARE CONTROLLED BY A PARENT COMPANY, WHICH OWNS THE MAJORITY OR ALL OF THE CAPITAL OF THESE ENTITIES. IN CONTRAST TO A BRANCH, A SUBSIDIARY IS A SEPARATE, DISTINCT LEGAL ENTITY. 
** IN THE SENSE OF MAKING INDEPENDENT MANAGEMENT DECISIONS (THIS INCLUDES PARTNERSHIPS AND CO-OPERATIVES). "
5,answer,D2,4,Common,,"In round 2014H1, the category “Part of a profit-oriented enterprise (e.g. subsidiary or branch) not taking fully autonomous financial decisions” was split into two to identify whether the enterprise is a subsidiary or a branch",- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,- a subsidiary of another enterprise,,,,,,,,,,
6,answer def.,D2,4,Common,,,"a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise;
In your replies to all the following questions, please respond on behalf of the subsidiary.","a separate, distinct legal entity that is part of a profit-oriented enterprise",,,,,,,,,,
7,answer,D2,5,Common,,"In round 2014H1, the category “Part of a profit-oriented enterprise (e.g. subsidiary or branch) not taking fully autonomous financial decisions” was split into two to identify whether the enterprise is a subsidiary or a branch",- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,- a branch of another enterprise,,,,,,,,,,
8,answer def.,D2,5,Common,,,"branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.","branches are controlled by a parent company and are not separate legal entities;
Please respond on behalf of the whole enterprise, that is, the head office and all branches.",branches are controlled by a parent company and are not separate legal entities,,,,,,,,,,
9,answer,D2,2,Common,,,"- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent financial decisions","- an autonomous profit-oriented enterprise, making independent FINANCIAL decisions"
